"Campus Ambassador
                        Guby Rogers                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Performance BasedApply By"
"Social Entrepreneurship (Social Volunteering)
                        Hamari Pahchan NGO                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By"
"Human Resources (HR)
                        Jobs Flash Consulting Services                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7000-8000 /monthApply By"
"Campus Ambassador
                        E-Cell IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Performance BasedApply By"
"Campus Ambassador
                        RenMo India                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Performance BasedApply By"
"Business Development (Sales)
                        UpGrad (UpGrad Education Private Limited)                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Marketing
                        Sportskeeda                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Marketing
                        Zee Entertainment Enterprises Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By"
"Marketing
                        Zee Entertainment Enterprises Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000 /monthApply By"
"Customer Relationship Management
                        Decathlon Sports India                    PuneMumbaiWakad","Pune, Mumbai, Wakad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply By"
"Inbound Marketing
                        UpGrad (UpGrad Education Private Limited)                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Business Development (Sales)
                        UpGrad (UpGrad Education Private Limited)                    Ajmer","Ajmer                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12000 /monthApply By"
"Marketing
                        BYJU'S - The Learning App                    Sri Ganganagar","Sri Ganganagar                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Human Resources (HR)
                        Aam Aadmi Party                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By"
"Human Resources (HR)
                        Hindustan Times Digital Streams Limited                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12000 /monthApply By"
"Digital Marketing
                        CaratLane Trading Private Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
